order_item_id	order_id	order_item_name	order_item_type
780	5117	Stitch Markers Locking type 25 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
781	5117	Ordinary	shipping
782	5118	Laptop DC Tip Converter 5.5 x 2.1mm female To 7.4mm x 5.0mm male for HP Dell	line_item
783	5118	Ordinary	shipping
784	5119	Laptop DC Tip Converter Type-C female To 7.4x5.0mm male 90 Degree	line_item
785	5119	COD Handling fee	fee
786	5119	Express	shipping
787	5120	Laptop DC Tip Converter 5.5 x 2.1mm female To 3.5 x 1.35mm male for Sharp, Dell	line_item
788	5120	Ordinary	shipping
789	5121	Laptop DC Tip Converter 5.5 x 2.1mm female To 7.4mm x 5.0mm male for HP Dell	line_item
790	5121	Ordinary	shipping
806	5129	Laptop DC Power Adapter Tips (28 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
807	5129	Express	shipping
808	5147	USB Boost Converter DC 5V to 9V 12V USB Step-up Converter Cable Output jack 5.5x2.1mm + 3.5x1.35mm Connecter	line_item
809	5147	Express	shipping
810	5148	Laptop DC Tip Converter Type-C female To 7.4x5.0mm male 90 Degree	line_item
811	5148	Express	shipping
812	5150	Laptop DC Power Adapter Tips (10 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc (Copy)	line_item
813	5150	Ordinary	shipping
816	5157	Laptop DC Power Adapter Tips (28 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
817	5157	Express	shipping
818	5158	Lightning Adapter Headphone 3.5mm AUX Audio Jack and Charger Extender Dongle Lightning Male to USB Female OTG Cable	line_item
819	5158	Express	shipping
820	5159	Laptop DC Tip Converter Type-C female To 7.4x5.0mm male 90 Degree	line_item
821	5159	Express	shipping
831	5162	Mannequin Head Male Styrofoam material Model Wig Hat glasses display choose color - Black	line_item
832	5162	Ordinary	shipping
839	5163	Laptop DC Power Adapter Tips (10 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc (Copy)	line_item
840	5163	Express	shipping
843	5164	Laptop DC Tip Converter 5.5 x 2.1mm female To 5.5 x 1.7mm male for Acer, Emachines, Gateway, Packard Bell Laptops	line_item
844	5164	Ordinary	shipping
845	5165	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
846	5165	Ordinary	shipping
850	5175	USB Boost Converter DC 5V to 9V 12V USB Step-up Converter Cable Output jack 5.5x2.1mm + 3.5x1.35mm Connecter	line_item
851	5175	Express	shipping
852	5176	Stitch Markers Locking type 50 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
853	5176	Ordinary	shipping
854	5177	Laptop DC Power Adapter Tips (10 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
855	5177	Express	shipping
856	5178	Laptop DC Power Adapter Tips (10 Pcs) Universal 5.5x2.1mm Connector Power Supply Input Jack Plug for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
857	5178	DC Power Pigtail Cable Wire 1 Pair Male Female 5.5 X 2.1mm Connectors for CCTV Security Camera and Lighting	line_item
858	5178	Express	shipping
859	5179	Universal Laptop charger with 28 Pcs Adapter Tips 5.5x2.1mm female for Lenovo Thinkpad, Dell, Sony, Toshiba, ASUS, HP etc	line_item
860	5179	COD Handling fee	fee
861	5179	Express	shipping
865	5181	Laptop DC Tip Converter 5.5 x 2.1mm female To 5.5 x 2.5mm male	line_item
866	5181	Express	shipping
867	5182	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
868	5182	Ordinary	shipping
871	5185	USB Boost Converter DC 5V to 12V USB Step-up Converter Cable Output jack 5.5x2.1mm	line_item
