order_item_id	meta_key	meta_value
232	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
232	_line_total	145
232	_product_id	1757
232	_qty	1
232	_reduced_stock	1
232	_tax_class	
232	_variation_id	1827
232	length	Mixed
233	_line_subtotal	125
233	_line_subtotal_tax	0
233	_line_tax	0
233	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
233	_line_total	125
233	_product_id	1784
233	_qty	1
233	_reduced_stock	1
233	_tax_class	
233	_variation_id	0
234	_fee_amount	-19.5
234	_last_added_fee	Discount for Direct Payment 5%
234	_line_tax	0
234	_line_tax_data	a:1:{s:5:"total";a:0:{}}
234	_line_total	-19.5
234	_tax_class	0
234	_tax_status	taxable
235	cost	120.00
235	instance_id	4
235	Items	Plastic Needle Large Eye 5 Nos for Wool Sewing Embroidery Tapestry Cross Darning Stitchery Craft Choose length - Mixed &times; 1, Stitch Markers Locking type 25 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Embroidery Tapestry Cross Darning Stitchery Craft &times; 1
235	method_id	flat_rate
235	taxes	a:1:{s:5:"total";a:0:{}}
235	total_tax	0
242	_line_subtotal	295
242	_line_subtotal_tax	0
242	_line_tax	0
242	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
242	_line_total	295
242	_product_id	3130
242	_qty	1
242	_reduced_stock	1
242	_tax_class	
242	_variation_id	0
243	_fee_amount	-19.25
243	_last_added_fee	Discount for Direct Payment 5%
243	_line_tax	0
243	_line_tax_data	a:1:{s:5:"total";a:0:{}}
243	_line_total	-19.25
243	_tax_class	0
243	_tax_status	taxable
244	cost	90.00
244	instance_id	4
244	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
244	method_id	flat_rate
244	taxes	a:1:{s:5:"total";a:0:{}}
244	total_tax	0
245	_line_subtotal	295
245	_line_subtotal_tax	0
245	_line_tax	0
245	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
245	_line_total	295
245	_product_id	3130
245	_qty	1
245	_reduced_stock	1
245	_tax_class	
245	_variation_id	0
246	_fee_amount	-19.25
246	_last_added_fee	Discount for Direct Payment 5%
246	_line_tax	0
246	_line_tax_data	a:1:{s:5:"total";a:0:{}}
246	_line_total	-19.25
246	_tax_class	0
246	_tax_status	taxable
247	cost	90.00
247	instance_id	4
247	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
247	method_id	flat_rate
247	taxes	a:1:{s:5:"total";a:0:{}}
247	total_tax	0
251	_line_subtotal	295
251	_line_subtotal_tax	0
251	_line_tax	0
251	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
251	_line_total	295
251	_product_id	3130
251	_qty	1
251	_reduced_stock	1
251	_tax_class	
251	_variation_id	0
252	cost	90.00
252	instance_id	4
252	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
252	method_id	flat_rate
252	taxes	a:1:{s:5:"total";a:0:{}}
252	total_tax	0
277	_line_subtotal	195
277	_line_subtotal_tax	0
277	_line_tax	0
277	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
277	_line_total	195
277	_product_id	3248
277	_qty	1
277	_reduced_stock	1
277	_tax_class	
277	_variation_id	0
278	_fee_amount	-12.5
278	_last_added_fee	Discount for Direct Payment 5%
278	_line_tax	0
278	_line_tax_data	a:1:{s:5:"total";a:0:{}}
278	_line_total	-12.5
278	_tax_class	0
278	_tax_status	taxable
279	cost	55.00
279	instance_id	7
